"RepoRelPath","Extension","SizeBytes","SHA256","Purpose","Contents","CategoryLabel","EvidenceType","FailureExplanation","SourcePath","ExtractOrFull","Notes"
"extracts/03_failed_attempts/2026-01-29__GPT-5-Pro-Bug__analysis__001.md",".md","700","1D1291CBB5B6D5C97A236F0DA5EA776CB2F22A5B8E0852FEB0BDF0B5BC57C41E","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Reports remaining sorry at rec-succ in Claude_SN lane; not axiom-free.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Reports remaining sorry at rec-succ in Claude_SN lane; not axiom-free.","MUST_Review/chats/GPT-5-Pro-Bug.md","extract",""
"extracts/03_failed_attempts/2026-01-29__GPT-5-Pro-NoGo__analysis__001.md",".md","956","C13DE3ED8EE19FD7FBCC3EDD65BEC379001FC1E9959DE57144C3062EB4849B9F","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Constraint blockers cite missing kappa symbol and arity mismatch.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Constraint blockers cite missing kappa symbol and arity mismatch.","MUST_Review/chats/GPT-5-Pro-NoGo.md","extract",""
"extracts/03_failed_attempts/2026-01-29__gpt-5.2-1-28-2026__test__001.md",".md","775","F406369373BCEFDB13C44CB5545BFE64AEC2E6E279E052D5AB982AA3ADBCEA4F","Evidence extract (failed_attempts/chat) documenting a failure or relevance; Asserts SN plausibility without proof.","Metadata header + excerpt from the source file.","failed_attempts","chat","Asserts SN plausibility without proof.","MUST_Review/chats/tests/gpt-5.2-1-28-2026.md","extract",""
"extracts/03_failed_attempts/2026-01-29__GPT5_CONSOLIDATION_BRIEFING__summary__001.md",".md","1606","3C325994BBAEF5E13181CBBFD281148EAD73A74262AE80BD668D54DD8AAA2D08","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/GPT5_CONSOLIDATION_BRIEFING.md","extract",""
"extracts/03_failed_attempts/2026-01-29__grok-4.1-1-28-2026__test__001.md",".md","782","BC255740F1F776C56A3718C8556F43CE65E80888AB512FBF019C65B644106295","Evidence extract (failed_attempts/chat) documenting a failure or relevance; Asserts termination and confluence without proof.","Metadata header + excerpt from the source file.","failed_attempts","chat","Asserts termination and confluence without proof.","MUST_Review/chats/tests/grok-4.1-1-28-2026.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Hybrid_Termination__analysis__001.md",".md","598","1AF9A7DE5D8DEA75BF1473FE9C8949D0FE9A3D8457167D865314EE179126EB15","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0411.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0411.","MUST_Review/Hybrid_Termination copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Incompleteness_Reverification__analysis__001.md",".md","657","AE8334E8A4882E8A2FD16467EB90E7526479C3892AF5852299B878AE53E85F2F","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Re-verification argues completeness claims rely on external Nat yardstick.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Re-verification argues completeness claims rely on external Nat yardstick.","MUST_Review/Gemeni-3-Test/Incompleteness_Reverification.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Independent_Turing_Test__analysis__001.md",".md","643","FA65F03830E0C25DB69B573DD686AB24BD7F6A4EE374FB2FA553D605ECEE050B","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Informal argument for non-Turing-completeness based on bounded recursion.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Informal argument for non-Turing-completeness based on bounded recursion.","MUST_Review/Gemeni-3-Test/Independent_Turing_Test.md","extract",""
"extracts/03_failed_attempts/2026-01-29__INDEX__summary__001.md",".md","970","EFE9620A3BCAF9D429EE51B2560E6A0F64DE598490C02910430113C709EF4E9D","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/INDEX.md","extract",""
"extracts/03_failed_attempts/2026-01-29__july-29-O3-3-attachment-recc__screenshot__001.md",".md","884","D62E85833D381C40A85B0115C5ECDC6F201CDD6C3FBBAC01A874963765E07D1E","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows Lean errors in mu_merge_lt_rec / rec_succ proof (opow_lt_opow_right usage, AddRightStrictMono failures, unknown identifiers), indicating proof obligations are stuck.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows Lean errors in mu_merge_lt_rec / rec_succ proof (opow_lt_opow_right usage, AddRightStrictMono failures, unknown identifiers), indicating proof obligations are stuck.","MUST_Review/chats/ChatGPT/july-29-O3-3-attachment-recc.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-29-O3-3-attachment-recc-2__screenshot__001.md",".md","701","AE6795F02B71FCDF7025060329D8B7019CB6776242C4C96609AE79C224EAF5D3","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows opow_lt_opow_right misapplied and multiple type mismatches in ordinal inequalities.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows opow_lt_opow_right misapplied and multiple type mismatches in ordinal inequalities.","MUST_Review/chats/ChatGPT/july-29-O3-3-attachment-recc-2.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-29-O3-3-attachment-recc-3__screenshot__001.md",".md","678","DD455F93167FAF7C1749259F6BD09F7008DA2F4CAA7A88DDDBED20D6C996BB90","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows unresolved goals and AddRightStrictMono synthesis failures in mu_lt_eq_diff chain.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows unresolved goals and AddRightStrictMono synthesis failures in mu_lt_eq_diff chain.","MUST_Review/chats/ChatGPT/july-29-O3-3-attachment-recc-3.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-29-O3-3-attachment-recc-erros-remain__screenshot__001.md",".md","666","1E0E7FDE4AE4508214FF8960496511B046947988C2A4BBB3B8575554F7D5E056","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows remaining errors in rec_succ chain (lt_of_lt_of_le mismatches, unsolved goals).","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows remaining errors in rec_succ chain (lt_of_lt_of_le mismatches, unsolved goals).","MUST_Review/chats/ChatGPT/july-29-O3-3-attachment-recc-erros-remain.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-29-O3-3-WE_CAN_WALYS_DEFINE-1__screenshot__001.md",".md","721","C891BAA7FCD2D6DED9B3FC5958D511A249965D897F6C2146D34029AEAABBDD03","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows AddRightStrictMono and PosMulStrictMono synthesis failures, blocking rec_succ aggregation.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows AddRightStrictMono and PosMulStrictMono synthesis failures, blocking rec_succ aggregation.","MUST_Review/chats/ChatGPT/july-29-O3-3-WE CAN WALYS DEFINE-1.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-29-O3-attachment-2__screenshot__001.md",".md","657","4AD93D462AE96BE456F1E4C836689D355626EFF3F73AF839DC776B5B4BFBD27E","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows opow_lt_opow_right misuse and AddRightStrictMono failures in rec_succ proof.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows opow_lt_opow_right misuse and AddRightStrictMono failures in rec_succ proof.","MUST_Review/chats/ChatGPT/july-29-O3-attachment-2.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-29-O3-attachment-first__screenshot__001.md",".md","677","26CE486DDC37B09C376F67BC5D298921DA320B1A4F33806F76570B9926B49E7A","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows failed attempts to relate mu_rec_zero and mu_delta, with type mismatches and contradictions.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows failed attempts to relate mu_rec_zero and mu_delta, with type mismatches and contradictions.","MUST_Review/chats/ChatGPT/july-29-O3-attachment-first.png","extract",""
"extracts/03_failed_attempts/2026-01-29__July-30-25-O3-3__analysis__001.md",".md","637","00DEE44189B1536FA272A84FD24466960A0D00B267814677D6C7885B6D0B5592","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Highlights that mu_param_le_delta is false, indicating a key lemma used in rec_succ chains is invalid.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Highlights that mu_param_le_delta is false, indicating a key lemma used in rec_succ chains is invalid.","MUST_Review/chats/ChatGPT/July-30-25-O3-3.md","extract",""
"extracts/03_failed_attempts/2026-01-29__July-30-25-O3-Ordinal-toolit-diag-long__analysis__001.md",".md","634","985DD43DA2F1A685B4456B023690130DE65D9C3959312A6CF56CBC684EBBB76B","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Diagnostics show compiler IR failures at MetaSN.bigA and numerous type errors.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Diagnostics show compiler IR failures at MetaSN.bigA and numerous type errors.","MUST_Review/chats/ChatGPT/July-30-25-O3-Ordinal-toolit-diag-long.md","extract",""
"extracts/03_failed_attempts/2026-01-29__July-30-25-O3-ordinal-toolkit-lemmas__screenshot__001.md",".md","683","4E636A4F995FECCECBD9D6E36BE199C86E34EE038AFB4EE3A665776AE4C4916B","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows failures compiling bigA and related ordinal lemmas; linarith and opow monotonicity fail.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows failures compiling bigA and related ordinal lemmas; linarith and opow monotonicity fail.","MUST_Review/chats/ChatGPT/July-30-25-O3-ordinal-toolkit-lemmas.png","extract",""
"extracts/03_failed_attempts/2026-01-29__July-30-25-O3-Pro-mu_recc_succ_error__screenshot__001.md",".md","647","B44A93920B1EF13277483D2CBB4707B983017985506CAA4472FECC2033BA3E3F","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows errors in mu_lt_eq_diff and rec_succ chain; opow and mul lemmas fail to apply.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows errors in mu_lt_eq_diff and rec_succ chain; opow and mul lemmas fail to apply.","MUST_Review/chats/ChatGPT/July-30-25-O3-Pro-mu_recc_succ_error.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-30-O3-3-ordinal-toolkti-3__screenshot__001.md",".md","611","5E7458B9E7296950DAE7383F4526864933F19928F430E5B494647F90BA384F18","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows tail-term bound proof errors; MulLeftStrictMono not synthesized.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows tail-term bound proof errors; MulLeftStrictMono not synthesized.","MUST_Review/chats/ChatGPT/july-30-O3-3-ordinal-toolkti-3.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-30-O3-3-ordinal-toolkti-4__screenshot__001.md",".md","622","C01D4C25D9870E68F3D1ABCFFCD4C6E5BA13613BE0ED599F355AE70983A4154D","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows opow_le_opow_right and mul_lt_mul_left failures in head-term bound.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows opow_le_opow_right and mul_lt_mul_left failures in head-term bound.","MUST_Review/chats/ChatGPT/july-30-O3-3-ordinal-toolkti-4.png","extract",""
"extracts/03_failed_attempts/2026-01-29__july-30-O3-3-WE_CAN_WALYS_DEFINE-2__screenshot__001.md",".md","652","7F80CA96A63EF7720A292C487030BC10D09CD9B83A82A4885D27CCB166192175","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Screenshot shows AddRightStrictMono/unknown identifier failures during aggregation step.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Screenshot shows AddRightStrictMono/unknown identifier failures during aggregation step.","MUST_Review/chats/ChatGPT/july-30-O3-3-WE CAN WALYS DEFINE-2.png","extract",""
"extracts/03_failed_attempts/2026-01-29__Kappa__analysis__002.md",".md","2309","388093E534250CFCD5E87E5E00834CC26CB1A0AD0D16371B13471BCC0B09A401","Evidence extract (failed_attempts/code) documenting a failure or relevance; Duplicate of Legacy\\Meta_Lean_Archive\\Kappa.lean.","Metadata header + excerpt from the source file.","failed_attempts","code","Duplicate of Legacy\\Meta_Lean_Archive\\Kappa.lean.","MUST_Review/Meta_Lean_Archive/Kappa.lean","extract",""
"extracts/03_failed_attempts/2026-01-29__Kappa__analysis__003.md",".md","2518","49DE093C7AC2116D3E28E02D20E4FB3410DB73564FFC53A69DE22118DDEC2FD6","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Kappa definition increments for every rec?, violating the intended ? drop-only-on-rec_succ invariant.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Kappa definition increments for every rec?, violating the intended ? drop-only-on-rec_succ invariant.","MUST_Review/MetaMD_Archive/Kappa.md","extract",""
"extracts/03_failed_attempts/2026-01-29__KappaPlus2__analysis__001.md",".md","2734","3AF46C0E96614221F967EF8393FAA53D45EF55531862FDA333B5489DD4BDAC4B","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\KappaPlus2.lean.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\KappaPlus2.lean.","MUST_Review/Meta_Lean_Archive/KappaPlus2.lean","extract",""
"extracts/03_failed_attempts/2026-01-29__kernel_analysis__analysis__001.md",".md","4894","149D0BA65A03E3D847D924CD04BED908B3EF8998F00C15E4EA1D07EC0B6E74F6","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Audit notes show the axiom-/numeral-/boolean-free and incompleteness claims depend on missing lemmas and external Bool/Nat/classical features.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Audit notes show the axiom-/numeral-/boolean-free and incompleteness claims depend on missing lemmas and external Bool/Nat/classical features.","Legacy/MetaMD_Archive/kernel_analysis.md","extract",""
"extracts/03_failed_attempts/2026-01-29__kimi-k2-1-28-2026__test__001.md",".md","775","C17648D6E3743924F958DE27CA778992672ED57D04BFB179CAD6709A403197CF","Evidence extract (failed_attempts/chat) documenting a failure or relevance; Asserts SN plausibility without proof.","Metadata header + excerpt from the source file.","failed_attempts","chat","Asserts SN plausibility without proof.","MUST_Review/chats/tests/kimi-k2-1-28-2026.md","extract",""
"extracts/03_failed_attempts/2026-01-29__ko6_guide__summary__001.md",".md","1281","76E080B9479ADDD21FCAE840CC900DA5E7CD940CC687C031259A329652A1D27E","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/ko6_guide.md","extract",""
"extracts/03_failed_attempts/2026-01-29__KO7_ANALYSIS_INDEX__summary__001.md",".md","925","B6D8FC8AF4639D35B940D7731FF28A7CEAFB7D23E92DC346C84ECE0C0BDA102D","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0558.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0558.","MUST_Review/KO7_ANALYSIS_INDEX copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__KO7_OperationalIncompleteness_Skeleton__analysis__001.md",".md","1634","3BE41BC0066F9A139A59953B058A1FDD41D513FEF6DD799BC01EE5CD2520BCF0","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\KO7_OperationalIncompleteness_Skeleton.lean.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\KO7_OperationalIncompleteness_Skeleton.lean.","MUST_Review/Meta_Lean_Archive/KO7_OperationalIncompleteness_Skeleton.lean","extract",""
"extracts/03_failed_attempts/2026-01-29__LAKE_BUILD_OPTIMIZATION__summary__001.md",".md","952","220EFE445ECA3807255051F8032E98741074469357347F8A0E50B021C97B524F","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/LAKE_BUILD_OPTIMIZATION.md","extract",""
"extracts/03_failed_attempts/2026-01-29__latest_solution__analysis__001.md",".md","6707","7042BABE02138C0AE329A49E80E9CD7128E01DD1B8EEDE3FCFD8CBBA36F219B3","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of primary entry.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of primary entry.","MUST_Review/chats/latest_solution copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__LEAN_VULNERABILITY_ANALYSIS__summary__001.md",".md","1210","BBCB91B38B0F3B76E8F0CD7BB31FCEB572F2D3A2FC31D7729EA6BC6070A535A0","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0565.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0565.","MUST_Review/LEAN_VULNERABILITY_ANALYSIS copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Legacy_Evidence_Manifest__summary__001.md",".md","1473","43FA688DBE358DB4286698C0F6F625F9BB5776543777B72FD05E8E35FE6061DF","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/Legacy_Evidence_Manifest.md","extract",""
"extracts/03_failed_attempts/2026-01-29__llm_flaws__summary__001.md",".md","2506","B382DF8A0D4848984B3EB9FD793392E0838E659F2A88A8A9E6FC587B743D80E3","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0568.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0568.","MUST_Review/llm-flaws copy.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__llm_research__summary__001.md",".md","1098","C8822C1B669CB29BD427EBBFF2BBB28C93BE54F2779302E1AB992DBD6B95B398","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/llm-research.md","extract",""
"extracts/03_failed_attempts/2026-01-29__math_docs__analysis__001.md",".md","4983","D048E7ED020022684BCFA17534A3CFEA65B375DE7ED1322315277002E7509F3E","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; The document labels MuCore fully green while also listing missing rec_succ and deferred eq_diff proofs, showing termination support is incomplete.","Metadata header + excerpt from the source file.","failed_attempts","analysis","The document labels MuCore fully green while also listing missing rec_succ and deferred eq_diff proofs, showing termination support is incomplete.","Legacy/MetaMD_Archive/math_docs.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Measure__proof_attempt__001.md",".md","9261","69B66B36B2E39A75BB7B1BAA6210AED6A5F5CB754F6121C6624ADE8839773B94","Evidence extract (failed_attempts/proof-attempt) documenting a failure or relevance; The rec_succ case depends on MetaSN.rec_succ_bound, a disallowed domination assumption, so the lex measure proof is invalid under project constraints.","Metadata header + excerpt from the source file.","failed_attempts","proof-attempt","The rec_succ case depends on MetaSN.rec_succ_bound, a disallowed domination assumption, so the lex measure proof is invalid under project constraints.","Legacy/MetaMD_Archive/Measure.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Measure__rec_succ__001.md",".md","5500","E92FA1512E3BF9D5052FED7204A12CF2EEE3C45A685F717D6D5CE4054B169D77","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\Measure.lean.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\Measure.lean.","MUST_Review/Meta_Lean_Archive/Measure.lean","extract",""
"extracts/03_failed_attempts/2026-01-29__Measure__rec_succ_bound__001.md",".md","5318","580EAD50AB64B31C0C34C56AB14884FBEB7FA676F5E2F0002D0497D037E7FF83","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Rec_succ delta-case depends on MetaSN.rec_succ_bound (unsupported), leaving a hard blocker.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Rec_succ delta-case depends on MetaSN.rec_succ_bound (unsupported), leaving a hard blocker.","MUST_Review/MetaMD_Archive/Measure.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Measurement_Boundary_Theory_Final__summary__001.md",".md","2238","D16A25AA49FE3AA9C6A24689961BCBFC55B941B52683DCD11E7F559669B9898F","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0583.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0583.","MUST_Review/Measurement_Boundary_Theory_Final copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Meta__analysis__001.md",".md","2679","FED415C85173BFCB36544F8DBC5A420764C29C36A205D9F8CD0835A5D0C8CD6B","Evidence extract (failed_attempts/code) documenting a failure or relevance; Meta.lean introduces Bool-valued helpers and imports linarith, violating the boolean-free/axiom-free constraints.","Metadata header + excerpt from the source file.","failed_attempts","code","Meta.lean introduces Bool-valued helpers and imports linarith, violating the boolean-free/axiom-free constraints.","Legacy/MetaMD_Archive/Meta.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Meta_Layer_Circularity__analysis__001.md",".md","664","3499AC81964844142D9F2CC66CBA3645E02884D5DF863333AF92D2E0D8263077","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Explains circularity: Trace termination proved via Nat well-foundedness.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Explains circularity: Trace termination proved via Nat well-foundedness.","MUST_Review/Gemeni-3-Test/Meta_Layer_Circularity.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Meta_Logic_Evaluation__analysis__001.md",".md","690","394154B3D95F2B224C606302A390E813C70E6DB018C3DB94D8658F58B0740C74","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Justifies borrowed logic as acceptable meta-language, conflicting with operator-only constraints.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Justifies borrowed logic as acceptable meta-language, conflicting with operator-only constraints.","MUST_Review/Gemeni-3-Test/Meta_Logic_Evaluation.md","extract",""
"extracts/03_failed_attempts/2026-01-29__MuCore_Diag__diagnostic__001.md",".md","1227","575A61F0FCA0CAB821ABEBA03783E5A8C391C2BAE106FB70EB6253D9D79AE7E2","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Duplicate of Legacy\MetaMD_Archive\MuCore_Diag.md.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Duplicate of Legacy\MetaMD_Archive\MuCore_Diag.md.","MUST_Review/MetaMD_Archive/MuCore_Diag.md","extract",""
"extracts/03_failed_attempts/2026-01-29__MuCore_Diag_Reports__analysis__002.md",".md","909","C5B1098684E865E9A0D59BDB9FB73CE3C81D67CA23A4A2D622B0ECE470BF516F","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Duplicate of FRV2-0191.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Duplicate of FRV2-0191.","MUST_Review/MuCore_Diag_Reports copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__MuLexSN__analysis__002.md",".md","3381","CA97BD46744B0D7CADD7F372EB2E9A39D9ADB4B6FB18BC86591899D4A579F4E6","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\MuLexSN.lean.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\MuLexSN.lean.","MUST_Review/Meta_Lean_Archive/MuLexSN.lean","extract",""
"extracts/03_failed_attempts/2026-01-29__MuLexSN__proof_attempt__001.md",".md","3179","511C1EEF00500F35183AF7EA1CB00FBC42C66E18E1712BC03686CF156BACE1C0","Evidence extract (failed_attempts/proof-attempt) documenting a failure or relevance; Duplicate of Legacy\\MetaMD_Archive\\MuLexSN.md.","Metadata header + excerpt from the source file.","failed_attempts","proof-attempt","Duplicate of Legacy\\MetaMD_Archive\\MuLexSN.md.","MUST_Review/MetaMD_Archive/MuLexSN.md","extract",""
"extracts/03_failed_attempts/2026-01-29__MuPort__analysis__001.md",".md","6707","B2BAED75D69A7F1F685C2F7E1BD0E0AED5862A7A8FEF7C704FBB8D8F8A53A391","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of Legacy\\MetaMD_Archive\\MuPort.md.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of Legacy\\MetaMD_Archive\\MuPort.md.","MUST_Review/MetaMD_Archive/MuPort.md","extract",""
"extracts/03_failed_attempts/2026-01-29__MuPort__warning__001.md",".md","3500","D04E11A5858D3C0C3DFA6B630BD428F3C75593306D06A6E9FED3DB229ECB0A24","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\MuPort.lean.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of MUST_Review\Legacy\Meta_Lean_Archive\MuPort.lean.","MUST_Review/Meta_Lean_Archive/MuPort.lean","extract",""
"extracts/03_failed_attempts/2026-01-29__O3_10_28_25__transcript__001.md",".md","666","AFBA387F3687B695EEFA7C01FB710F9B03E2687B0C38CA4B213B61C599DF5A74","Evidence extract (failed_attempts/transcript) documenting a failure or relevance; Model claims operator-only completeness using Nat/Lean setup advice.","Metadata header + excerpt from the source file.","failed_attempts","transcript","Model claims operator-only completeness using Nat/Lean setup advice.","MUST_Review/important_2/O3-10-28-25.md","extract",""
"extracts/03_failed_attempts/2026-01-29__o3_fails_consolidated__analysis__001.md",".md","690","9FCC446DCD026208EE68572BD9D382519F5D7B877C1DAEE8E9870952585D8F54","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0238.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0238.","MUST_Review/o3_fails_consolidated.md","extract",""
"extracts/03_failed_attempts/2026-01-29__O3_Moment__summary__001.md",".md","3997","3125ED0E50EE0F26FE2CB924A6AF0D92198B863D98F5F3B7638BF9A1D6275B07","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/O3_Moment.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__O3_Moment_copy__summary__001.md",".md","1123","E3C7F8B3A8744480C5823176C8635FC34F46E789C7961609176869CD60D10883","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0593.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0593.","MUST_Review/O3-Moment copy 2.md","extract",""
"extracts/03_failed_attempts/2026-01-29__O3_Pro_Jul_22__summary__001.md",".md","2257","00CEC8D199C546F4717A003F72FA70657AE56BB95F3679824F438AA7AC0E55E7","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/O3-Pro-Jul-22.md","extract",""
